function,num_particles,alpha1,alpha2,avg_cost,avg_iterations,avg_time_sec,avg_score,delta_to_theoretical_min
ackley,20,1.0,1.0,1316.0,65.8,0.0681,1e-06,1e-06
ackley,20,1.0,1.5,1390.0,69.5,0.055,1e-06,1e-06
ackley,20,1.0,2.0,1462.0,73.1,0.0554,1e-06,1e-06
ackley,20,1.5,1.0,1392.0,69.6,0.0495,1e-06,1e-06
ackley,20,1.5,1.5,1436.0,71.8,0.0512,1e-06,1e-06
ackley,20,1.5,2.0,1534.0,76.7,0.0546,1e-06,1e-06
ackley,20,2.0,1.0,1474.0,73.7,0.0525,1e-06,1e-06
ackley,20,2.0,1.5,1530.0,76.5,0.0631,1e-06,1e-06
ackley,20,2.0,2.0,1678.0,83.9,0.0637,1e-06,1e-06
ackley,50,1.0,1.0,3080.0,61.6,0.109,1e-06,1e-06
ackley,50,1.0,1.5,3275.0,65.5,0.1232,1e-06,1e-06
ackley,50,1.0,2.0,3475.0,69.5,0.1248,1e-06,1e-06
ackley,50,1.5,1.0,3260.0,65.2,0.1206,1e-06,1e-06
ackley,50,1.5,1.5,3350.0,67.0,0.1215,1e-06,1e-06
ackley,50,1.5,2.0,3620.0,72.4,0.134,1e-06,1e-06
ackley,50,2.0,1.0,3430.0,68.6,0.1388,1e-06,1e-06
ackley,50,2.0,1.5,3620.0,72.4,0.1332,1e-06,1e-06
ackley,50,2.0,2.0,3885.0,77.7,0.1471,1e-06,1e-06
ackley,100,1.0,1.0,5960.0,59.6,0.2652,1e-06,1e-06
ackley,100,1.0,1.5,6250.0,62.5,0.3514,1e-06,1e-06
ackley,100,1.0,2.0,6560.0,65.6,0.2724,1e-06,1e-06
ackley,100,1.5,1.0,6310.0,63.1,0.281,1e-06,1e-06
ackley,100,1.5,1.5,6710.0,67.1,0.2379,1e-06,1e-06
ackley,100,1.5,2.0,6990.0,69.9,0.249,1e-06,1e-06
ackley,100,2.0,1.0,6810.0,68.1,0.2499,1e-06,1e-06
ackley,100,2.0,1.5,6880.0,68.8,0.2742,1e-06,1e-06
ackley,100,2.0,2.0,7380.0,73.8,0.2649,1e-06,1e-06
ackley,250,1.0,1.0,14825.0,59.3,0.511,1e-06,1e-06
ackley,250,1.0,1.5,14625.0,58.5,0.5013,1e-06,1e-06
ackley,250,1.0,2.0,15825.0,63.3,0.5611,1e-06,1e-06
ackley,250,1.5,1.0,15275.0,61.1,0.5695,1e-06,1e-06
ackley,250,1.5,1.5,15625.0,62.5,0.5618,1e-06,1e-06
ackley,250,1.5,2.0,16925.0,67.7,0.7524,0.0,0.0
ackley,250,2.0,1.0,15850.0,63.4,0.5539,1e-06,1e-06
ackley,250,2.0,1.5,16975.0,67.9,0.5938,1e-06,1e-06
ackley,250,2.0,2.0,17500.0,70.0,0.6875,1e-06,1e-06
rosenbrock,20,1.0,1.0,1012.0,50.6,0.036,0.0,0.0
rosenbrock,20,1.0,1.5,1046.0,52.3,0.042,0.0,0.0
rosenbrock,20,1.0,2.0,1104.0,55.2,0.0364,0.0,0.0
rosenbrock,20,1.5,1.0,1070.0,53.5,0.0388,0.0,0.0
rosenbrock,20,1.5,1.5,1100.0,55.0,0.034,1e-06,1e-06
rosenbrock,20,1.5,2.0,1098.0,54.9,0.042,1e-06,1e-06
rosenbrock,20,2.0,1.0,1044.0,52.2,0.0359,1e-06,1e-06
rosenbrock,20,2.0,1.5,1142.0,57.1,0.0496,0.0,0.0
rosenbrock,20,2.0,2.0,1276.0,63.8,0.042,0.0,0.0
rosenbrock,50,1.0,1.0,2230.0,44.6,0.0834,0.0,0.0
rosenbrock,50,1.0,1.5,2300.0,46.0,0.0841,1e-06,1e-06
rosenbrock,50,1.0,2.0,2460.0,49.2,0.0951,0.0,0.0
rosenbrock,50,1.5,1.0,2265.0,45.3,0.0794,0.0,0.0
rosenbrock,50,1.5,1.5,2330.0,46.6,0.0831,1e-06,1e-06
rosenbrock,50,1.5,2.0,2440.0,48.8,0.0863,0.0,0.0
rosenbrock,50,2.0,1.0,2300.0,46.0,0.0855,1e-06,1e-06
rosenbrock,50,2.0,1.5,2290.0,45.8,0.0798,1e-06,1e-06
rosenbrock,50,2.0,2.0,2510.0,50.2,0.0863,0.0,0.0
rosenbrock,100,1.0,1.0,3970.0,39.7,0.132,1e-06,1e-06
rosenbrock,100,1.0,1.5,4090.0,40.9,0.1593,0.0,0.0
rosenbrock,100,1.0,2.0,4580.0,45.8,0.1666,0.0,0.0
rosenbrock,100,1.5,1.0,4260.0,42.6,0.1497,1e-06,1e-06
rosenbrock,100,1.5,1.5,4160.0,41.6,0.1476,1e-06,1e-06
rosenbrock,100,1.5,2.0,4760.0,47.6,0.1917,0.0,0.0
rosenbrock,100,2.0,1.0,4600.0,46.0,0.2029,0.0,0.0
rosenbrock,100,2.0,1.5,4890.0,48.9,0.1696,0.0,0.0
rosenbrock,100,2.0,2.0,5140.0,51.4,0.2291,0.0,0.0
rosenbrock,250,1.0,1.0,9450.0,37.8,0.37,1e-06,1e-06
rosenbrock,250,1.0,1.5,9750.0,39.0,0.4217,0.0,0.0
rosenbrock,250,1.0,2.0,9925.0,39.7,0.3892,1e-06,1e-06
rosenbrock,250,1.5,1.0,9225.0,36.9,0.4157,1e-06,1e-06
rosenbrock,250,1.5,1.5,9975.0,39.9,0.3651,0.0,0.0
rosenbrock,250,1.5,2.0,10400.0,41.6,0.3817,0.0,0.0
rosenbrock,250,2.0,1.0,10575.0,42.3,0.403,0.0,0.0
rosenbrock,250,2.0,1.5,10650.0,42.6,0.3789,0.0,0.0
rosenbrock,250,2.0,2.0,10850.0,43.4,0.3975,0.0,0.0
cross_in_tray,20,1.0,1.0,600.0,30.0,0.0163,-2.06261,0.0
cross_in_tray,20,1.0,1.5,604.0,30.2,0.0142,-2.06261,0.0
cross_in_tray,20,1.0,2.0,598.0,29.9,0.0157,-2.06261,0.0
cross_in_tray,20,1.5,1.0,646.0,32.3,0.0178,-2.062611,1e-06
cross_in_tray,20,1.5,1.5,594.0,29.7,0.0173,-2.06261,0.0
cross_in_tray,20,1.5,2.0,626.0,31.3,0.0146,-2.062611,1e-06
cross_in_tray,20,2.0,1.0,722.0,36.1,0.022,-2.06261,0.0
cross_in_tray,20,2.0,1.5,632.0,31.6,0.0168,-2.06261,0.0
cross_in_tray,20,2.0,2.0,724.0,36.2,0.0201,-2.062611,1e-06
cross_in_tray,50,1.0,1.0,1265.0,25.3,0.0341,-2.062611,1e-06
cross_in_tray,50,1.0,1.5,1125.0,22.5,0.0419,-2.062611,1e-06
cross_in_tray,50,1.0,2.0,1205.0,24.1,0.0342,-2.062611,1e-06
cross_in_tray,50,1.5,1.0,1105.0,22.1,0.0299,-2.06261,0.0
cross_in_tray,50,1.5,1.5,1350.0,27.0,0.0403,-2.062611,1e-06
cross_in_tray,50,1.5,2.0,1265.0,25.3,0.0321,-2.062611,1e-06
cross_in_tray,50,2.0,1.0,1550.0,31.0,0.0422,-2.062611,1e-06
cross_in_tray,50,2.0,1.5,1375.0,27.5,0.0378,-2.06261,0.0
cross_in_tray,50,2.0,2.0,1670.0,33.4,0.047,-2.06261,0.0
cross_in_tray,100,1.0,1.0,2150.0,21.5,0.0556,-2.062611,1e-06
cross_in_tray,100,1.0,1.5,2200.0,22.0,0.059,-2.062611,1e-06
cross_in_tray,100,1.0,2.0,2260.0,22.6,0.0563,-2.06261,0.0
cross_in_tray,100,1.5,1.0,2330.0,23.3,0.0655,-2.06261,0.0
cross_in_tray,100,1.5,1.5,2360.0,23.6,0.068,-2.06261,0.0
cross_in_tray,100,1.5,2.0,2030.0,20.3,0.0902,-2.062611,1e-06
cross_in_tray,100,2.0,1.0,2740.0,27.4,0.0853,-2.06261,0.0
