generation,individual_idx,lr,dropout,filters,blocks,neurons,val_loss,val_acc,num_epochs
7,1,0.0010517678814051,0.2468965436872794,116,4,512,0.4898822041833476,0.8335,10
7,2,0.003067644341124,0.3395681000205719,122,5,276,0.5553015430641782,0.8169,10
6,3,0.0005221447486623,0.1587910665421354,128,5,492,0.4606250785528474,0.8454,10
6,4,0.0006720289159284,0.3391928593880212,113,5,383,0.489873447995277,0.8387,10
8,5,0.0017479051557718,0.1,128,4,437,0.514958686130062,0.8288,10
8,6,0.002657928542194,0.3957840571521365,122,4,149,0.7285844169224903,0.7593,10
7,7,0.0006179019311496,0.4401371160572051,113,4,399,0.5275534720747335,0.8225,10
8,8,0.0091392990081253,0.2685424028984444,126,5,381,0.6761210798078282,0.7719,10
6,9,0.0012227656508443,0.2471261239071531,121,3,347,0.6588995458593794,0.7826,10
8,10,0.0017479051557718,0.1285148557649656,116,5,502,0.4953097518841932,0.8312,10
