generation,individual_idx,lr,dropout,filters,blocks,neurons,val_loss,val_acc,num_epochs
1,1,0.0085923656745892,0.1,103,1,512,2.106242817678269,0.1573,1
1,2,1e-05,0.3555119234622009,16,4,64,1.9912409471098784,0.327,1
1,3,0.0001932307288182,0.7,25,1,64,1.9190956058016249,0.3202,1
1,4,0.0008917172578996,0.1046090656371727,104,4,232,1.1100527720086892,0.5973,1
1,5,1e-05,0.4460732781899466,127,3,64,1.686212251900108,0.4258,1
1,6,1e-05,0.1,16,2,64,1.9541553820774051,0.3266,1
1,7,0.0065796346141836,0.7,112,1,204,2.302922194171104,0.1,1
1,8,0.0051808220398148,0.3995980343090868,65,1,313,2.083237424777572,0.1696,1
1,9,1e-05,0.7,63,3,64,1.960192758566255,0.3276,1
1,10,0.0065704592087328,0.5935543588230333,16,1,179,2.238059739398349,0.1448,1
2,1,1e-05,0.1,92,1,64,1.7449037588326035,0.3958,1
2,2,0.01,0.3681209241384536,51,5,512,2.0070793256638155,0.1928,1
2,3,0.0042816534095218,0.1,128,2,512,1.552514643426154,0.4224,1
2,4,0.01,0.1,104,4,468,2.0200816582722267,0.1825,1
2,5,0.01,0.1,115,4,512,2.3028488493269417,0.1,1
2,6,0.0060020446009793,0.1,128,3,512,1.8137639745785168,0.2655,1
2,7,0.0094024243572936,0.1,42,4,408,1.5989056856009611,0.3894,1
2,8,0.006843841900588,0.6314621114051409,36,3,307,1.9283871817740663,0.2277,1
2,9,1e-05,0.1,43,1,64,1.8267884300013255,0.367,1
2,10,0.0014432083560719,0.3136234170056676,128,4,424,1.387877589578082,0.4833,1
3,1,0.0010559856878678,0.261326266195739,128,5,430,1.349430050060248,0.5081,1
3,2,0.0035083864678195,0.5196712495073477,128,2,512,2.031984877434506,0.1726,1
3,3,1e-05,0.1,128,1,132,1.6440679533466411,0.4259,1
3,4,0.0032705208747954,0.1,93,2,116,1.7780441114097645,0.3092,1
3,5,1e-05,0.1,128,2,400,1.4612448321785896,0.4743,1
3,6,0.0035086288613716,0.1,88,1,247,2.0455640349418496,0.1818,1
3,7,1e-05,0.2241562652244698,81,2,64,1.7244247091803582,0.4064,1
3,8,0.0023687249257077,0.6863578664577324,56,4,337,1.675527207411019,0.3615,1
3,9,0.0031472628110294,0.5598932648303481,24,3,64,1.829994591937703,0.2719,1
3,10,0.002460462192091,0.2391975913246498,128,4,300,1.3233622585891918,0.5076,1
4,1,0.0073373697272361,0.3243789265461583,45,1,435,1.6314461739959232,0.3978,5
4,2,0.0058777849197085,0.2391975913246498,128,5,390,1.1414320548628545,0.6066,5
4,3,0.0041522381326951,0.1,128,4,285,1.1313334521214673,0.5839,5
4,4,1e-05,0.3532172781810611,109,5,184,0.9151582911515692,0.6816,5
4,5,0.0004544860176889,0.4278682249287968,45,1,400,1.259760148965629,0.547,5
4,6,0.0042765414440939,0.4231052462085912,121,5,439,1.165213089839668,0.5891,5
