generation,individual_idx,lr,dropout,filters,blocks,neurons,val_loss,val_acc,num_epochs
1,1,0.008592365674589217,0.1,103,1,512,2.1062428176782695,0.1573,1
1,2,1e-05,0.35551192346220095,16,4,64,1.9912409471098784,0.327,1
1,3,0.00019323072881823923,0.7,25,1,64,1.9190956058016249,0.3202,1
1,4,0.000891717257899678,0.1046090656371727,104,4,232,1.1100527720086892,0.5973,1
1,5,1e-05,0.4460732781899466,127,3,64,1.686212251900108,0.4258,1
1,6,1e-05,0.1,16,2,64,1.9541553820774054,0.3266,1
1,7,0.006579634614183663,0.7,112,1,204,2.3029221941711038,0.1,1
1,8,0.0051808220398148145,0.3995980343090868,65,1,313,2.0832374247775713,0.1696,1
1,9,1e-05,0.7,63,3,64,1.960192758566255,0.3276,1
1,10,0.0065704592087328815,0.5935543588230333,16,1,179,2.238059739398349,0.1448,1
2,1,1e-05,0.1,92,1,64,1.7449037588326035,0.3958,1
2,2,0.01,0.3681209241384536,51,5,512,2.0070793256638155,0.1928,1
2,3,0.004281653409521841,0.1,128,2,512,1.552514643426154,0.4224,1
2,4,0.01,0.1,104,4,468,2.0200816582722267,0.1825,1
2,5,0.01,0.1,115,4,512,2.3028488493269417,0.1,1
2,6,0.006002044600979386,0.1,128,3,512,1.8137639745785172,0.2655,1
2,7,0.009402424357293637,0.1,42,4,408,1.5989056856009611,0.3894,1
2,8,0.006843841900588078,0.6314621114051409,36,3,307,1.9283871817740665,0.2277,1
2,9,1e-05,0.1,43,1,64,1.8267884300013257,0.367,1
2,10,0.001443208356071927,0.3136234170056676,128,4,424,1.387877589578082,0.4833,1
3,1,0.0010559856878678661,0.261326266195739,128,5,430,1.3494300500602479,0.5081,1
3,2,0.003508386467819528,0.5196712495073477,128,2,512,2.031984877434506,0.1726,1
3,3,1e-05,0.1,128,1,132,1.6440679533466411,0.4259,1
3,4,0.0032705208747954525,0.1,93,2,116,1.7780441114097645,0.3092,1
3,5,1e-05,0.1,128,2,400,1.4612448321785896,0.4743,1
3,6,0.003508628861371623,0.1,88,1,247,2.0455640349418496,0.1818,1
3,7,1e-05,0.22415626522446985,81,2,64,1.7244247091803582,0.4064,1
3,8,0.002368724925707771,0.6863578664577324,56,4,337,1.675527207411019,0.3615,1
3,9,0.0031472628110294923,0.5598932648303481,24,3,64,1.829994591937703,0.2719,1
3,10,0.0024604621920910324,0.2391975913246498,128,4,300,1.3233622585891918,0.5076,1
4,1,0.007337369727236133,0.3243789265461583,45,1,435,1.6314461739959232,0.3978,5
4,2,0.005877784919708506,0.2391975913246498,128,5,390,1.1414320548628545,0.6066,5
4,3,0.00415223813269513,0.1,128,4,285,1.1313334521214673,0.5839,5
4,4,1e-05,0.3532172781810611,109,5,184,0.9151582911515691,0.6816,5
4,5,0.00045448601768892935,0.4278682249287968,45,1,400,1.259760148965629,0.547,5
4,6,0.0042765414440939726,0.42310524620859125,121,5,439,1.165213089839668,0.5891,5
4,7,0.002760293617663226,0.6519382990173008,16,2,64,1.749755100080162,0.3396,5
4,8,1e-05,0.2290610129565912,128,4,334,0.9315653864745121,0.6745,5
4,9,0.0032984699453104996,0.5296406658991661,89,4,340,0.9939463400537041,0.6538,5
4,10,0.006236428444653654,0.1,128,5,512,0.8095132423813935,0.7247,5
5,1,0.001542200508886848,0.1,128,4,467,0.6354419837711723,0.7842,5
5,2,0.0012378728186116918,0.1,103,1,297,1.2709326823805547,0.5345,5
5,3,0.006863137885391864,0.1,128,5,333,0.9649057342747974,0.6708,5
5,4,0.002503760431336084,0.1,127,3,154,0.7471451478399289,0.7451,5
5,5,0.00045448601768892935,0.2849713873786153,128,4,512,0.6150340170237669,0.7897,5
5,6,0.0026183102482223927,0.22908498936717958,88,2,260,1.2340367842631734,0.5405,5
5,7,0.0028172702091673503,0.11772691630745974,22,1,316,1.2693765770857501,0.5424,5
5,8,0.009257684199816896,0.22053142366374234,128,5,512,1.3572611208933933,0.493,5
5,9,0.001542200508886848,0.19121574948512904,113,5,347,0.6537895904984444,0.7816,5
5,10,0.0024616813950162067,0.6031534754874238,73,4,512,0.8841948509216309,0.7038,5
